Year,m,d,Time,Time zone,Air temperature (degC)
2022,11,1,00:00,UTC,8.1
2022,11,2,00:00,UTC,6.2
2022,11,3,00:00,UTC,6.6
2022,11,4,00:00,UTC,6
2022,11,5,00:00,UTC,2.8
2022,11,6,00:00,UTC,7.5
2022,11,7,00:00,UTC,8.4
2022,11,8,00:00,UTC,7.6
2022,11,9,00:00,UTC,8.2
2022,11,10,00:00,UTC,9.6
2022,11,11,00:00,UTC,10.2
2022,11,12,00:00,UTC,11.4
2022,11,13,00:00,UTC,5.5
2022,11,14,00:00,UTC,5.1
2022,11,15,00:00,UTC,3.8
2022,11,16,00:00,UTC,-0.9
2022,11,17,00:00,UTC,0
2022,11,18,00:00,UTC,-0.8
2022,11,19,00:00,UTC,-2.2
2022,11,20,00:00,UTC,-1.6
2022,11,21,00:00,UTC,-1.6
2022,11,22,00:00,UTC,-2.1
2022,11,23,00:00,UTC,-2.9
2022,11,24,00:00,UTC,-2.7
2022,11,25,00:00,UTC,-0.5
2022,11,26,00:00,UTC,-2.4
2022,11,27,00:00,UTC,-3.3
2022,11,28,00:00,UTC,-0.2
2022,11,29,00:00,UTC,1.2
2022,11,30,00:00,UTC,0.6
2022,12,1,00:00,UTC,-0.3